ID VSAT;NOME DA VSAT;ATIVAÇÃO;COMISSIONAMENTO;ODU;LATITUDE;LONGITUDE;ANTENA;Nº SÉRIE ANTENA;LOCALIDADE
2;SES--TEST-VSAT-1;2012-12-09;;4035;null;null;patriot;32323232323232323232;
3;SES--TEST-VSAT-2;2012-12-09;;4035;;;patriot;323232323232323232;
37;SES-ANAS-0658;2012-01-13;;4033;21 1 13;42 6 38;patriot;;Antonio Prado de Minas
57;SES-ARAI-0659;2012-01-10;;4033;19 12 05 s;44 14 53 w;patriot;3040646;Aracai
55;SES-BAIM-0662;2012-01-10;;4033;19 17 23;43 57 2;patriot;;Baldim
53;SES-BOAS-0664;2012-12-06;;4033;21 57 1;44 11 31;patriot;;Bom Jardim de Minas
23;SES-CAAS-0676;2012-01-10;;4033;17 4 46;44 12 20;patriot;;Catas Altas
61;SES-CEAS-0677;2012-01-12;;4033;18 45 43;41 18 25;skyware;;Central de Minas
27;SES-CLES-0678;2012-01-09;;4035;17 4 46;44 12 20;patriot;;Claro dos Pocoes
24;SES-COGO-0683;2012-01-10;;4033;19 07 24 s;44 19 18 w;patriot;9086102;Cordisburgo
28;SES-COTA-0684;2012-01-10;;4035;16 37 10 s;42 11 01 w;skyware;40646;Coronel Murta
46;SES-IBGA-0695;2012-01-11;;4033;21 25 59 S;43 57 48 W;skyware;29112002;Ibertioga
77;SES-ITGA-0698;2012-01-13;;4033;21 17 55;44 39 12;patriot;;Itutinga
42;SES-JAUI-0699;2012-01-13;;4033;21 1 14 S;46 44 43 W;skyware;62458945;Jacui
62;SES-LADE-0724;2012-01-12;;4033;17 50 37;46 30 49;patriot;;Lagoa Grande
36;SES-MACU-0654;2012-01-12;;4033;20 14 40 s;42 01 40 w;patriot;3040646;Manhuacu
73;SES-NANO-0733;2012-01-13;;4033;21 12 59 S;44 36 51 W;skyware;3040646;Nazareno
8;SES-SAIA-0745;2012-01-09;;4033;19 47 12 S;43 55 43 W;patriot;5546987181;Santa Luzia
5;SES-SAIA-0746;2012-01-09;;4033;19 45 57;43 51 23;patriot;;Santa Luzia
12;SES-SAIA-0750;2012-12-06;;4033;19 47 29;43 56 12;patriot;;Santa Luzia
1;SES-SAIA-0754;2012-01-10;;4033;69 46 59 S;46 55 38 W;patriot;9086105;Santa Luzia
